Id,Name,Identity,Alignment,Eyes,Hair,Sex,Alive,Appearances,First_appeared,Planet,Universe
2,John Malone,Secret,Bad,Blue,White,Male,Yes,15,"1985, January",New Earth,DC
3,"Samuel Bradley, Jr.",Public,Bad,Brown,Brown,Male,No,19,"2004, March",New Earth,DC
4,Hope Taya,Public,Bad,Brown,Black,Female,Yes,28,"1999, December",New Earth,DC
5,Trygg,Secret,Bad,Black,Black,Male,Yes,3,"1940, June",New Earth,DC
6,Boris Dmitravich Razumihin,Public,Good,Brown,Black,Male,Yes,7,"1987, December",New Earth,DC
7,Perry White,Public,Good,Blue,Brown,Male,Yes,350,"1986, October",New Earth,DC
11,Vladimir Morakov,Public,Good,Black,Brown,Male,Yes,8,"1989, December",New Earth,DC
17,Nina Mazursky,Secret,Good,White,No,Female,Yes,3,"2011, August",New Earth,DC
18,Tubby Watts,Secret,Good,Brown,Red,Male,Yes,137,"1941, September",New Earth,DC
19,Growler,Non-dual,Good,Brown,Black,Male,Yes,11,"1998, April",New Earth,DC
21,Russell Tenclouds,Public,Good,Blue,Black,Male,No,5,"1994, November",New Earth,DC
22,Edward Trane,Secret,Good,Brown,White,Male,No,2,"1983, February",New Earth,DC
23,Fashion Thing,Public,Neutral,Blue,White,Female,Yes,14,"1968, September",New Earth,DC
26,Simyan,Public,Bad,Brown,Brown,Male,Yes,20,"1971, January",New Earth,DC
29,Aya,Public,Bad,Black,Brown,Unknown,Yes,1,"2011, June",New Earth,DC
30,Sebastian Blood IX,Secret,Bad,Red,White,Male,No,12,"2004, January",New Earth,DC
36,Fidel Castro,Public,Neutral,Black,White,Male,Yes,4,"1988, Holiday",New Earth,DC
38,Jarras Minion,Secret,Good,Blue,Green,Male,Yes,25,"1994, September",New Earth,DC
39,Gunther Van Horn,Secret,Bad,Brown,Brown,Male,No,12,"1993, October",New Earth,DC
42,Tongs,Secret,Good,White,Brown,Male,Yes,2,"2010, December",New Earth,DC
43,Korlian Dasor,Public,Good,Black,Blond,Male,Yes,10,"1961, October",New Earth,DC
44,Teekl,Public,Neutral,Red,Orange,Male,Yes,43,"1973, March",New Earth,DC
49,Rachel Rathaway,Public,Good,Blue,Red,Female,Yes,1,"1989, November",New Earth,DC
53,Rumaan Harjavti,Public,Bad,Brown,Black,Male,No,7,"1987, June",New Earth,DC
54,Chantinelle,Public,Neutral,Brown,Brown,Female,Yes,9,"1991, July",New Earth,DC
58,Viktor Burgos,Public,Bad,Yellow,Red,Male,No,2,"2010, June",New Earth,DC
61,Face II,Secret,Good,Brown,Black,Male,No,5,"2009, January",New Earth,DC
63,Ewald Olafsson,Public,Bad,Blue,White,Male,No,6,"1993, September",New Earth,DC
67,Tag-A-Long Thomas,Secret,Good,Brown,Blond,Male,Yes,3,"1961, November",New Earth,DC
70,Jeb Turnbull,Public,Neutral,Brown,Black,Male,Yes,3,"1974, August",New Earth,DC
71,Cyrus Gold,Secret,Bad,Black,White,Male,No,174,"1944, October",New Earth,DC
74,Frederick Tuckman,Public,Good,Black,Black,Male,Yes,13,"2006, May",New Earth,DC
84,White Canary,Secret,Bad,Brown,Black,Female,Yes,6,"2010, July",New Earth,DC
86,Dark Opal,Public,Bad,Red,Black,Male,No,27,"1983, April",New Earth,DC
98,Titan II,Public,Bad,Brown,Black,Male,Yes,8,"1998, December",New Earth,DC
103,Anthony Mantegna,Secret,Good,Grey,Black,Male,Yes,24,"1988, May",New Earth,DC
105,Clay Kendall,Public,Good,Black,Blond,Male,No,19,"1984, January",New Earth,DC
109,Bernhard Baker,Secret,Good,Blue,Blond,Male,Yes,229,"1965, September",New Earth,DC
110,Orm Marius,Secret,Bad,Brown,Brown,Male,Yes,92,"1966, October",New Earth,DC
116,Michelle Carter,Secret,Good,Blue,Blond,Female,Yes,32,"1986, July",New Earth,DC
119,Hathak,Public,Bad,Yellow,Black,Male,No,1,"1997, December",New Earth,DC
120,Bobby Gazzo,Public,Bad,Brown,Brown,Male,No,1,"1999, December",New Earth,DC
127,Holly Granger,Secret,Good,Blue,Red,Female,No,23,"2005, May",New Earth,DC
133,Cody Driscoll,Secret,Good,Green,Blond,Male,Yes,52,"1996, October",New Earth,DC
139,Joseph Hand,Secret,Good,Brown,Brown,Male,Yes,3,"1964, June",New Earth,DC
141,Mordred,Public,Bad,White,Brown,Male,No,8,"1946, January",New Earth,DC
150,Jonah Hex,Public,Good,Blue,Blond,Male,No,291,"1972, March",New Earth,DC
153,Thelma Gordon,Public,Neutral,Brown,White,Female,No,5,"1987, November",New Earth,DC
154,Nelson Arling,Secret,Bad,Black,Black,Male,Yes,2,"1999, August",New Earth,DC
156,Yalan Gur,Secret,Bad,Blue,Auburn,Male,No,3,"1991, December",New Earth,DC
157,Bertram Larvan,Secret,Bad,Black,Black,Male,No,11,"1966, September",New Earth,DC
159,Metalliferro,Public,Bad,Blue,Brown,Male,Yes,2,"1983, November",New Earth,DC
163,Throttle,Secret,Bad,White,Black,Male,Yes,7,"1985, June",New Earth,DC
166,Topkick,Non-dual,Bad,Blue,Blond,Male,Yes,1,"1997, October",New Earth,DC
175,Molecule,Secret,Good,Green,Blond,Male,No,4,"2006, December",New Earth,DC
177,Thrax,Secret,Neutral,Green,Red,Male,No,1,"1996, March",New Earth,DC
189,Henry Hackenbacker,Public,Good,Brown,Blond,Male,Yes,2,"2011, March",New Earth,DC
191,Phantasm,Public,Bad,Brown,Brown,Unknown,Yes,1,"1981, September",New Earth,DC
192,Cossack,Secret,Bad,Black,Brown,Male,Yes,2,"1978, January",New Earth,DC
194,Taj-Ze,Public,Good,Brown,Black,Male,Yes,8,"1969, February",New Earth,DC
197,Starfire,Public,Good,Blue,Black,Female,Yes,15,"1976, September",New Earth,DC
204,Ranakar,Public,Good,Blue,White,Male,Yes,1,"1983, August",New Earth,DC
212,Harleen Quinzel,Public,Bad,Blue,Blond,Female,Yes,153,"1999, October",New Earth,DC
213,Dennap,Public,Good,Blue,White,Female,Yes,1,"2003, November",New Earth,DC
214,Xax,Secret,Good,Black,Grey,Male,No,25,"1961, December",New Earth,DC
222,Bizarro Blue Beetle,Secret,Neutral,Blue,Brown,Male,Yes,1,"2011, April",New Earth,DC
223,Kan-Z,Public,Neutral,Blue,Blond,Male,Yes,2,"1987, December",New Earth,DC
227,Ion,Secret,Good,Green,No,Unknown,No,45,"2006, April",New Earth,DC
231,T-Cher,Secret,Good,Blue,Black,Male,Yes,3,"1983, August",New Earth,DC
232,Blade Master,Public,Bad,Brown,No,Male,Yes,1,"1981, June",New Earth,DC
237,Bobo T. Chimpanzee,Public,Bad,Black,Black,Male,Yes,88,"1952, August",New Earth,DC
243,Jack Jordan,Secret,Good,Yellow,Brown,Male,Yes,28,"1961, December",New Earth,DC
244,Solomon Driver,Public,Good,Hazel,Brown,Male,Yes,4,"1973, September",New Earth,DC
246,Althesia,Secret,Good,Blue,Brown,Female,Yes,1,"1997, July",New Earth,DC
247,Quake,Secret,Bad,Brown,Black,Male,Yes,1,"1994, September",New Earth,DC
254,Norman Grimes,Non-dual,Bad,Blue,Orange,Male,Yes,1,"1976, August",New Earth,DC
259,Jesse,Public,Bad,Red,Black,Male,Yes,5,"2008, August",New Earth,DC
